"Time","flask_nosql"
2024-03-03 17:55:15,0.00622
2024-03-03 17:55:30,0.000283
2024-03-03 17:55:45,0.000301
2024-03-03 17:56:00,0.000296
2024-03-03 17:56:15,0.000300
2024-03-03 17:56:30,0.000280
2024-03-03 17:56:45,0.0131
2024-03-03 17:57:00,0.0600
2024-03-03 17:57:15,0.0599
2024-03-03 17:57:30,0.0594
2024-03-03 17:57:45,0.000305
2024-03-03 17:58:00,0.000298
2024-03-03 17:58:15,0.000316
2024-03-03 17:58:30,0.000296
2024-03-03 17:58:45,0.000301
2024-03-03 17:59:00,0.000298
2024-03-03 17:59:15,0.000295
2024-03-03 17:59:30,0.000285
2024-03-03 17:59:45,0.0161
2024-03-03 18:00:00,0.186
2024-03-03 18:00:15,0.290
2024-03-03 18:00:30,0.295
2024-03-03 18:00:45,0.225
2024-03-03 18:01:00,0.0527
2024-03-03 18:01:15,0.000302
2024-03-03 18:01:30,0.000283
2024-03-03 18:01:45,0.000287
2024-03-03 18:02:00,0.000277
2024-03-03 18:02:15,0.000290
2024-03-03 18:02:30,0.000283
2024-03-03 18:02:45,0.000292
2024-03-03 18:03:00,0.000282
2024-03-03 18:03:15,0.000295
2024-03-03 18:03:30,0.000294
2024-03-03 18:03:45,0.000304
2024-03-03 18:04:00,0.000291
2024-03-03 18:04:15,0.000289
2024-03-03 18:04:30,0.000272
2024-03-03 18:04:45,0.000279
2024-03-03 18:05:00,0.00846
2024-03-03 18:05:15,0.0913
2024-03-03 18:05:30,0.0901
2024-03-03 18:05:45,0.0905
2024-03-03 18:06:00,0.000269
2024-03-03 18:06:15,0.000278
2024-03-03 18:06:30,0.000265
2024-03-03 18:06:45,0.000277
2024-03-03 18:07:00,0.000281
2024-03-03 18:07:15,0.000289
2024-03-03 18:07:30,0.000280
2024-03-03 18:07:45,0.000289
2024-03-03 18:08:00,0.000280
2024-03-03 18:08:15,0.000291
2024-03-03 18:08:30,0.000282
2024-03-03 18:08:45,0.000303
2024-03-03 18:09:00,0.00614
2024-03-03 18:09:15,0.00611
2024-03-03 18:09:30,0.00619
2024-03-03 18:09:45,0.00533
2024-03-03 18:10:00,0.000364
2024-03-03 18:10:15,0.000370
2024-03-03 18:10:30,0.000354
2024-03-03 18:10:45,0.000355
2024-03-03 18:11:00,0.000338
2024-03-03 18:11:15,0.0197
2024-03-03 18:11:30,0.0619
2024-03-03 18:11:45,0.0627
2024-03-03 18:12:00,0.0622
2024-03-03 18:12:15,0.000315
