"Time","mongo"
2024-03-03 17:15:00,134520832
2024-03-03 17:15:15,134516736
2024-03-03 17:15:30,134643712
2024-03-03 17:15:45,134639616
2024-03-03 17:16:00,134512640
2024-03-03 17:16:15,134639616
2024-03-03 17:16:30,134512640
2024-03-03 17:16:45,134643712
2024-03-03 17:17:00,134639616
2024-03-03 17:17:15,134516736
2024-03-03 17:17:30,134651904
2024-03-03 17:17:45,134651904
2024-03-03 17:18:00,134651904
2024-03-03 17:18:15,134651904
2024-03-03 17:18:30,134651904
2024-03-03 17:18:45,134651904
2024-03-03 17:19:00,134651904
2024-03-03 17:19:15,134651904
2024-03-03 17:19:30,134651904
2024-03-03 17:19:45,181166080
2024-03-03 17:20:00,181821440
2024-03-03 17:20:15,182087680
2024-03-03 17:20:30,181878784
2024-03-03 17:20:45,182214656
2024-03-03 17:21:00,187711488
2024-03-03 17:21:15,185704448
2024-03-03 17:21:30,191791104
2024-03-03 17:21:45,191885312
2024-03-03 17:22:00,191897600
2024-03-03 17:22:15,191897600
2024-03-03 17:22:30,191901696
2024-03-03 17:22:45,194138112
2024-03-03 17:23:00,194019328
2024-03-03 17:23:15,194138112
2024-03-03 17:23:30,194142208
2024-03-03 17:23:45,196247552
2024-03-03 17:24:00,196120576
2024-03-03 17:24:15,196247552
2024-03-03 17:24:30,196112384
2024-03-03 17:24:45,196476928
2024-03-03 17:25:00,196370432
2024-03-03 17:25:15,198410240
2024-03-03 17:25:30,202653696
2024-03-03 17:25:45,202809344
2024-03-03 17:26:00,202809344
2024-03-03 17:26:15,202805248
2024-03-03 17:26:30,202682368
2024-03-03 17:26:45,202678272
2024-03-03 17:27:00,202678272
2024-03-03 17:27:15,202809344
2024-03-03 17:27:30,204779520
2024-03-03 17:27:45,204632064
2024-03-03 17:28:00,204890112
2024-03-03 17:28:15,204890112
2024-03-03 17:28:30,204759040
2024-03-03 17:28:45,205017088
2024-03-03 17:29:00,204759040
2024-03-03 17:29:15,204890112
2024-03-03 17:29:30,204759040
2024-03-03 17:29:45,207085568
2024-03-03 17:30:00,207122432
2024-03-03 17:30:15,205381632
2024-03-03 17:30:30,205840384
2024-03-03 17:30:45,205766656
2024-03-03 17:31:00,205746176
2024-03-03 17:31:15,205651968
2024-03-03 17:31:30,205762560
2024-03-03 17:31:45,210120704
2024-03-03 17:32:00,209997824
2024-03-03 17:32:15,210137088
2024-03-03 17:32:30,210010112
2024-03-03 17:32:45,210137088
2024-03-03 17:33:00,210014208
2024-03-03 17:33:15,210657280
2024-03-03 17:33:30,210554880
2024-03-03 17:33:45,217710592
2024-03-03 17:34:00,219283456
2024-03-03 17:34:15,218628096
2024-03-03 17:34:30,219308032
2024-03-03 17:34:45,221274112
2024-03-03 17:35:00,221294592
2024-03-03 17:35:15,221294592
2024-03-03 17:35:30,221302784
2024-03-03 17:35:45,217808896
2024-03-03 17:36:00,217935872
2024-03-03 17:36:15,218304512
2024-03-03 17:36:30,220278784
2024-03-03 17:36:45,220274688
2024-03-03 17:37:00,220278784
2024-03-03 17:37:15,220278784
2024-03-03 17:37:30,220278784
2024-03-03 17:37:45,220286976
2024-03-03 17:38:00,220413952
2024-03-03 17:38:15,220295168
2024-03-03 17:38:30,220418048
2024-03-03 17:38:45,222527488
2024-03-03 17:39:00,222392320
2024-03-03 17:39:15,222400512
2024-03-03 17:39:30,222650368
2024-03-03 17:39:45,222597120
2024-03-03 17:40:00,228941824
2024-03-03 17:40:15,228990976
2024-03-03 17:40:30,229314560
2024-03-03 17:40:45,229179392
2024-03-03 17:41:00,229310464
2024-03-03 17:41:15,229441536
2024-03-03 17:41:30,229314560
2024-03-03 17:41:45,229191680
2024-03-03 17:42:00,231292928
2024-03-03 17:42:15,231288832
2024-03-03 17:42:30,229126144
2024-03-03 17:42:45,231370752
2024-03-03 17:43:00,231374848
2024-03-03 17:43:15,231378944
2024-03-03 17:43:30,231251968
2024-03-03 17:43:45,231383040
2024-03-03 17:44:00,231387136
2024-03-03 17:44:15,231387136
2024-03-03 17:44:30,233373696
2024-03-03 17:44:45,233627648
2024-03-03 17:45:00,231133184
2024-03-03 17:45:15,231137280
2024-03-03 17:45:30,231378944
2024-03-03 17:45:45,233889792
2024-03-03 17:46:00,233451520
2024-03-03 17:46:15,233783296
2024-03-03 17:46:30,233619456
2024-03-03 17:46:45,233869312
2024-03-03 17:47:00,233742336
2024-03-03 17:47:15,233615360
2024-03-03 17:47:30,233619456
2024-03-03 17:47:45,233881600
2024-03-03 17:48:00,233615360
2024-03-03 17:48:15,233746432
2024-03-03 17:48:30,233615360
2024-03-03 17:48:45,233746432
2024-03-03 17:49:00,233746432
2024-03-03 17:49:15,233484288
2024-03-03 17:49:30,233615360
2024-03-03 17:49:45,233746432
2024-03-03 17:50:00,233771008
2024-03-03 17:50:15,231337984
2024-03-03 17:50:30,231473152
2024-03-03 17:50:45,231804928
2024-03-03 17:51:00,231723008
2024-03-03 17:51:15,231772160
2024-03-03 17:51:30,231813120
2024-03-03 17:51:45,231817216
2024-03-03 17:52:00,231809024
2024-03-03 17:52:15,231948288
2024-03-03 17:52:30,231817216
2024-03-03 17:52:45,231821312
2024-03-03 17:53:00,232005632
2024-03-03 17:53:15,232136704
2024-03-03 17:53:30,232005632
2024-03-03 17:53:45,232013824
2024-03-03 17:54:00,231886848
2024-03-03 17:54:15,232144896
2024-03-03 17:54:30,231923712
2024-03-03 17:54:45,232108032
2024-03-03 17:55:00,232321024
2024-03-03 17:55:15,232452096
2024-03-03 17:55:30,232333312
2024-03-03 17:55:45,232333312
2024-03-03 17:56:00,232382464
2024-03-03 17:56:15,232509440
2024-03-03 17:56:30,232382464
2024-03-03 17:56:45,231981056
2024-03-03 17:57:00,232062976
2024-03-03 17:57:15,232194048
2024-03-03 17:57:30,232062976
2024-03-03 17:57:45,232337408
2024-03-03 17:58:00,232083456
2024-03-03 17:58:15,232218624
2024-03-03 17:58:30,232218624
2024-03-03 17:58:45,232349696
2024-03-03 17:59:00,232095744
2024-03-03 17:59:15,231481344
2024-03-03 17:59:30,233357312
2024-03-03 17:59:45,232087552
2024-03-03 18:00:00,231858176
2024-03-03 18:00:15,232497152
2024-03-03 18:00:30,232247296
2024-03-03 18:00:45,232247296
2024-03-03 18:01:00,232177664
2024-03-03 18:01:15,232435712
2024-03-03 18:01:30,232333312
2024-03-03 18:01:45,232337408
2024-03-03 18:02:00,232337408
2024-03-03 18:02:15,232206336
2024-03-03 18:02:30,232468480
2024-03-03 18:02:45,232206336
2024-03-03 18:03:00,232267776
2024-03-03 18:03:15,232521728
2024-03-03 18:03:30,232259584
2024-03-03 18:03:45,232259584
2024-03-03 18:04:00,232263680
2024-03-03 18:04:15,232263680
2024-03-03 18:04:30,232263680
2024-03-03 18:04:45,232099840
2024-03-03 18:05:00,231915520
2024-03-03 18:05:15,236044288
2024-03-03 18:05:30,236167168
2024-03-03 18:05:45,236036096
2024-03-03 18:06:00,236040192
2024-03-03 18:06:15,236040192
2024-03-03 18:06:30,236044288
2024-03-03 18:06:45,236040192
2024-03-03 18:07:00,238141440
2024-03-03 18:07:15,238272512
2024-03-03 18:07:30,238149632
2024-03-03 18:07:45,238276608
2024-03-03 18:08:00,238276608
2024-03-03 18:08:15,238280704
2024-03-03 18:08:30,238145536
2024-03-03 18:08:45,238145536
2024-03-03 18:09:00,238231552
2024-03-03 18:09:15,238497792
2024-03-03 18:09:30,238235648
2024-03-03 18:09:45,238530560
2024-03-03 18:10:00,238571520
2024-03-03 18:10:15,238571520
2024-03-03 18:10:30,238813184
2024-03-03 18:10:45,238809088
2024-03-03 18:11:00,238551040
2024-03-03 18:11:15,238092288
2024-03-03 18:11:30,237572096
2024-03-03 18:11:45,238018560
2024-03-03 18:12:00,239996928
2024-03-03 18:12:15,240119808
2024-03-03 18:12:30,239992832
2024-03-03 18:12:45,240250880
2024-03-03 18:13:00,240005120
2024-03-03 18:13:15,240259072
2024-03-03 18:13:30,240005120
2024-03-03 18:13:45,239865856
2024-03-03 18:14:00,237875200
2024-03-03 18:14:15,235581440
2024-03-03 18:14:30,235814912
2024-03-03 18:14:45,235913216
2024-03-03 18:15:00,236019712
2024-03-03 18:15:15,236044288
2024-03-03 18:15:30,235917312
2024-03-03 18:15:45,236056576
2024-03-03 18:16:00,235933696
2024-03-03 18:16:15,236056576
2024-03-03 18:16:30,235958272
2024-03-03 18:16:45,236249088
2024-03-03 18:17:00,236027904
2024-03-03 18:17:15,236023808
2024-03-03 18:17:30,236158976
2024-03-03 18:17:45,236294144
2024-03-03 18:18:00,236040192
2024-03-03 18:18:15,236044288
2024-03-03 18:18:30,236044288
2024-03-03 18:18:45,236052480
2024-03-03 18:19:00,238153728
2024-03-03 18:19:15,235700224
2024-03-03 18:19:30,237809664
2024-03-03 18:19:45,236175360
2024-03-03 18:20:00,236380160
2024-03-03 18:20:15,236425216
2024-03-03 18:20:30,236425216
2024-03-03 18:20:45,236425216
2024-03-03 18:21:00,236429312
2024-03-03 18:21:15,236429312
2024-03-03 18:21:30,236437504
2024-03-03 18:21:45,236470272
2024-03-03 18:22:00,236519424
2024-03-03 18:22:15,236646400
2024-03-03 18:22:30,236625920
2024-03-03 18:22:45,236654592
2024-03-03 18:23:00,236789760
2024-03-03 18:23:15,236785664
2024-03-03 18:23:30,236675072
2024-03-03 18:23:45,236883968
2024-03-03 18:24:00,238854144
2024-03-03 18:24:15,239104000
2024-03-03 18:24:30,238968832
2024-03-03 18:24:45,238977024
2024-03-03 18:25:00,239001600
2024-03-03 18:25:15,239128576
2024-03-03 18:25:30,239005696
2024-03-03 18:25:45,238870528
2024-03-03 18:26:00,238366720
2024-03-03 18:26:15,238682112
2024-03-03 18:26:30,240783360
