"Time","mysql"
2024-03-03 17:15:00,0.00240
2024-03-03 17:15:15,0.00244
2024-03-03 17:15:30,0.00236
2024-03-03 17:15:45,0.00229
2024-03-03 17:16:00,0.00224
2024-03-03 17:16:15,0.00223
2024-03-03 17:16:30,0.00225
2024-03-03 17:16:45,0.00236
2024-03-03 17:17:00,0.00249
2024-03-03 17:17:15,0.00253
2024-03-03 17:17:30,0.00264
2024-03-03 17:17:45,0.00219
2024-03-03 17:18:00,0.00155
2024-03-03 17:18:15,0.000962
2024-03-03 17:20:00,0.00283
2024-03-03 17:20:15,0.00693
2024-03-03 17:20:30,0.0109
2024-03-03 17:20:45,0.0154
2024-03-03 17:21:00,0.0190
2024-03-03 17:21:15,0.0156
2024-03-03 17:21:30,0.0116
2024-03-03 17:21:45,0.00710
2024-03-03 17:22:00,0.00253
2024-03-03 17:22:15,0.00247
2024-03-03 17:22:30,0.00230
2024-03-03 17:22:45,0.00225
2024-03-03 17:23:00,0.00223
2024-03-03 17:23:15,0.00228
2024-03-03 17:23:30,0.00229
2024-03-03 17:23:45,0.00218
2024-03-03 17:24:00,0.00215
2024-03-03 17:24:15,0.00206
2024-03-03 17:24:30,0.00205
2024-03-03 17:24:45,0.00204
2024-03-03 17:25:00,0.00205
2024-03-03 17:25:15,0.00419
2024-03-03 17:25:30,0.0150
2024-03-03 17:25:45,0.0150
2024-03-03 17:26:00,0.0153
2024-03-03 17:26:15,0.00966
2024-03-03 17:26:30,0.00236
2024-03-03 17:26:45,0.00223
2024-03-03 17:27:00,0.00222
2024-03-03 17:27:15,0.00209
2024-03-03 17:27:30,0.00555
2024-03-03 17:27:45,0.00822
2024-03-03 17:28:00,0.00850
2024-03-03 17:28:15,0.00848
2024-03-03 17:28:30,0.00259
2024-03-03 17:28:45,0.00238
2024-03-03 17:29:00,0.00239
2024-03-03 17:29:15,0.00234
2024-03-03 17:29:30,0.00232
2024-03-03 17:29:45,0.00217
2024-03-03 17:30:00,0.00894
2024-03-03 17:30:15,0.0148
2024-03-03 17:30:30,0.0146
2024-03-03 17:30:45,0.0147
2024-03-03 17:31:00,0.00292
2024-03-03 17:31:15,0.00254
2024-03-03 17:31:30,0.00247
2024-03-03 17:31:45,0.00243
2024-03-03 17:32:00,0.00238
2024-03-03 17:32:15,0.00219
2024-03-03 17:32:30,0.00208
2024-03-03 17:32:45,0.00206
2024-03-03 17:33:00,0.00206
2024-03-03 17:33:15,0.00206
2024-03-03 17:33:30,0.00209
2024-03-03 17:33:45,0.00209
2024-03-03 17:34:00,0.00212
2024-03-03 17:34:15,0.00211
2024-03-03 17:34:30,0.00213
2024-03-03 17:34:45,0.00482
2024-03-03 17:35:00,0.00859
2024-03-03 17:35:15,0.0127
2024-03-03 17:35:30,0.0185
2024-03-03 17:35:45,0.0175
2024-03-03 17:36:00,0.0139
2024-03-03 17:36:15,0.00947
2024-03-03 17:36:30,0.00235
2024-03-03 17:36:45,0.00229
2024-03-03 17:37:00,0.00216
2024-03-03 17:37:15,0.00215
2024-03-03 17:37:30,0.00215
2024-03-03 17:37:45,0.00216
2024-03-03 17:38:00,0.00218
2024-03-03 17:38:15,0.00214
2024-03-03 17:38:30,0.00212
2024-03-03 17:38:45,0.00206
2024-03-03 17:39:00,0.00206
2024-03-03 17:39:15,0.00206
2024-03-03 17:39:30,0.00208
2024-03-03 17:39:45,0.00207
2024-03-03 17:40:00,0.0141
2024-03-03 17:40:15,0.0146
2024-03-03 17:40:30,0.0149
2024-03-03 17:40:45,0.0102
2024-03-03 17:41:00,0.00240
2024-03-03 17:41:15,0.00220
2024-03-03 17:41:30,0.00216
2024-03-03 17:41:45,0.00211
2024-03-03 17:42:00,0.00484
2024-03-03 17:42:15,0.00857
2024-03-03 17:42:30,0.00884
2024-03-03 17:42:45,0.00881
2024-03-03 17:43:00,0.00271
2024-03-03 17:43:15,0.00236
2024-03-03 17:43:30,0.00227
2024-03-03 17:43:45,0.00221
2024-03-03 17:44:00,0.00217
2024-03-03 17:44:15,0.00213
2024-03-03 17:44:30,0.00787
2024-03-03 17:44:45,0.0143
2024-03-03 17:45:00,0.0146
2024-03-03 17:45:15,0.0147
2024-03-03 17:45:30,0.00528
2024-03-03 17:45:45,0.00246
2024-03-03 17:46:00,0.00252
2024-03-03 17:46:15,0.00246
2024-03-03 17:46:30,0.00239
2024-03-03 17:46:45,0.00217
2024-03-03 17:47:00,0.00207
2024-03-03 17:47:15,0.00205
2024-03-03 17:47:30,0.00204
2024-03-03 17:47:45,0.00203
2024-03-03 17:48:00,0.00205
2024-03-03 17:48:15,0.00204
2024-03-03 17:48:30,0.00204
2024-03-03 17:48:45,0.00204
2024-03-03 17:49:00,0.00204
2024-03-03 17:49:15,0.00440
2024-03-03 17:49:30,0.00830
2024-03-03 17:49:45,0.0126
2024-03-03 17:50:00,0.0171
2024-03-03 17:50:15,0.0182
2024-03-03 17:50:30,0.0145
2024-03-03 17:50:45,0.0104
2024-03-03 17:51:00,0.00255
2024-03-03 17:51:15,0.00241
2024-03-03 17:51:30,0.00219
2024-03-03 17:51:45,0.00215
2024-03-03 17:52:00,0.00215
2024-03-03 17:52:15,0.00214
2024-03-03 17:52:30,0.00218
2024-03-03 17:52:45,0.00215
2024-03-03 17:53:00,0.00215
2024-03-03 17:53:15,0.00207
2024-03-03 17:53:30,0.00207
2024-03-03 17:53:45,0.00206
2024-03-03 17:54:00,0.00208
2024-03-03 17:54:15,0.00208
2024-03-03 17:54:30,0.0128
2024-03-03 17:54:45,0.0150
2024-03-03 17:55:00,0.0148
2024-03-03 17:55:15,0.0128
2024-03-03 17:55:30,0.00246
2024-03-03 17:55:45,0.00227
2024-03-03 17:56:00,0.00224
2024-03-03 17:56:15,0.00218
2024-03-03 17:56:30,0.00216
2024-03-03 17:56:45,0.00799
2024-03-03 17:57:00,0.00833
2024-03-03 17:57:15,0.00843
2024-03-03 17:57:30,0.00403
2024-03-03 17:57:45,0.00236
2024-03-03 17:58:00,0.00223
2024-03-03 17:58:15,0.00229
2024-03-03 17:58:30,0.00225
2024-03-03 17:58:45,0.00221
2024-03-03 17:59:00,0.00787
2024-03-03 17:59:15,0.0143
2024-03-03 17:59:30,0.0143
2024-03-03 17:59:45,0.0146
2024-03-03 18:00:00,0.00548
2024-03-03 18:00:15,0.00248
2024-03-03 18:00:30,0.00241
2024-03-03 18:00:45,0.00239
2024-03-03 18:01:00,0.00237
2024-03-03 18:01:15,0.00219
2024-03-03 18:01:30,0.00210
2024-03-03 18:01:45,0.00204
2024-03-03 18:02:00,0.00201
2024-03-03 18:02:15,0.00200
2024-03-03 18:02:30,0.00200
2024-03-03 18:02:45,0.00200
2024-03-03 18:03:00,0.00200
2024-03-03 18:03:15,0.00200
2024-03-03 18:03:30,0.00201
2024-03-03 18:03:45,0.00414
2024-03-03 18:04:00,0.00783
2024-03-03 18:04:15,0.0118
2024-03-03 18:04:30,0.0168
2024-03-03 18:04:45,0.0177
2024-03-03 18:05:00,0.0144
2024-03-03 18:05:15,0.00997
2024-03-03 18:05:30,0.00231
2024-03-03 18:05:45,0.00224
2024-03-03 18:06:00,0.00212
2024-03-03 18:06:15,0.00206
2024-03-03 18:06:30,0.00205
2024-03-03 18:06:45,0.00206
2024-03-03 18:07:00,0.00210
2024-03-03 18:07:15,0.00209
2024-03-03 18:07:30,0.00209
2024-03-03 18:07:45,0.00205
