"Time","fastapi_sql"
2024-03-03 17:15:00,79077376
2024-03-03 17:15:15,79077376
2024-03-03 17:15:30,79077376
2024-03-03 17:15:45,79077376
2024-03-03 17:16:00,79077376
2024-03-03 17:16:15,79077376
2024-03-03 17:16:30,79077376
2024-03-03 17:16:45,79077376
2024-03-03 17:17:00,79077376
2024-03-03 17:17:15,79077376
2024-03-03 17:17:30,79077376
2024-03-03 17:17:45,79077376
2024-03-03 17:18:00,79077376
2024-03-03 17:18:15,79077376
2024-03-03 17:18:30,79077376
2024-03-03 17:18:45,79077376
2024-03-03 17:19:00,79077376
2024-03-03 17:19:15,79077376
2024-03-03 17:19:30,79077376
2024-03-03 17:19:45,43241472
2024-03-03 17:20:00,56729600
2024-03-03 17:20:15,58277888
2024-03-03 17:20:30,58060800
2024-03-03 17:20:45,58060800
2024-03-03 17:21:00,58060800
2024-03-03 17:21:15,58052608
2024-03-03 17:21:30,58052608
2024-03-03 17:21:45,58052608
2024-03-03 17:22:00,58052608
2024-03-03 17:22:15,58052608
2024-03-03 17:22:30,58052608
2024-03-03 17:22:45,58052608
2024-03-03 17:23:00,58052608
2024-03-03 17:23:15,58052608
2024-03-03 17:23:30,58052608
2024-03-03 17:23:45,58052608
2024-03-03 17:24:00,58052608
2024-03-03 17:24:15,58052608
2024-03-03 17:24:30,58052608
2024-03-03 17:24:45,58052608
2024-03-03 17:25:00,58052608
2024-03-03 17:25:15,58859520
2024-03-03 17:25:30,58564608
2024-03-03 17:25:45,58564608
2024-03-03 17:26:00,58564608
2024-03-03 17:26:15,58564608
2024-03-03 17:26:30,58564608
2024-03-03 17:26:45,58564608
2024-03-03 17:27:00,58564608
2024-03-03 17:27:15,58564608
2024-03-03 17:27:30,59408384
2024-03-03 17:27:45,58597376
2024-03-03 17:28:00,58597376
2024-03-03 17:28:15,58597376
2024-03-03 17:28:30,58597376
2024-03-03 17:28:45,58597376
2024-03-03 17:29:00,58597376
2024-03-03 17:29:15,58597376
2024-03-03 17:29:30,58597376
2024-03-03 17:29:45,58597376
2024-03-03 17:30:00,62521344
2024-03-03 17:30:15,61886464
2024-03-03 17:30:30,61886464
