"Time","fastapi_sql"
2024-03-03 17:15:00,0.000904
2024-03-03 17:15:15,0.000975
2024-03-03 17:15:30,0.000969
2024-03-03 17:15:45,0.000906
2024-03-03 17:16:00,0.000946
2024-03-03 17:16:15,0.000936
2024-03-03 17:16:30,0.000942
2024-03-03 17:16:45,0.000964
2024-03-03 17:17:00,0.000998
2024-03-03 17:17:15,0.00100
2024-03-03 17:17:30,0.00102
2024-03-03 17:17:45,0.000872
2024-03-03 17:18:00,0.000622
2024-03-03 17:18:15,0.000340
2024-03-03 17:20:00,0.0376
2024-03-03 17:20:15,0.391
2024-03-03 17:20:30,0.683
2024-03-03 17:20:45,0.669
2024-03-03 17:21:00,0.558
2024-03-03 17:21:15,0.220
2024-03-03 17:21:30,0.000965
2024-03-03 17:21:45,0.000964
2024-03-03 17:22:00,0.000969
2024-03-03 17:22:15,0.000953
2024-03-03 17:22:30,0.000921
2024-03-03 17:22:45,0.000924
2024-03-03 17:23:00,0.000928
2024-03-03 17:23:15,0.000948
2024-03-03 17:23:30,0.000970
2024-03-03 17:23:45,0.000977
2024-03-03 17:24:00,0.000992
2024-03-03 17:24:15,0.000986
2024-03-03 17:24:30,0.000978
2024-03-03 17:24:45,0.000980
2024-03-03 17:25:00,0.000979
2024-03-03 17:25:15,0.00129
2024-03-03 17:25:30,0.0172
2024-03-03 17:25:45,0.0166
2024-03-03 17:26:00,0.0167
2024-03-03 17:26:15,0.00907
2024-03-03 17:26:30,0.000918
2024-03-03 17:26:45,0.000900
2024-03-03 17:27:00,0.000893
2024-03-03 17:27:15,0.000878
2024-03-03 17:27:30,0.0234
2024-03-03 17:27:45,0.0236
2024-03-03 17:28:00,0.0237
2024-03-03 17:28:15,0.0239
2024-03-03 17:28:30,0.000987
2024-03-03 17:28:45,0.000972
2024-03-03 17:29:00,0.000978
2024-03-03 17:29:15,0.000971
2024-03-03 17:29:30,0.000981
2024-03-03 17:29:45,0.000979
2024-03-03 17:30:00,0.0768
2024-03-03 17:30:15,0.0827
2024-03-03 17:30:30,0.0810
2024-03-03 17:30:45,0.0812
2024-03-03 17:31:00,0.000930
2024-03-03 17:31:15,0.000957
2024-03-03 17:31:30,0.000994
2024-03-03 17:31:45,0.00101
2024-03-03 17:32:00,0.00102
2024-03-03 17:32:15,0.000998
2024-03-03 17:32:30,0.000985
2024-03-03 17:32:45,0.000981
2024-03-03 17:33:00,0.000969
2024-03-03 17:33:15,0.000953
2024-03-03 17:33:30,0.000940
2024-03-03 17:33:45,0.000929
2024-03-03 17:34:00,0.000929
2024-03-03 17:34:15,0.000936
2024-03-03 17:34:30,0.000951
2024-03-03 17:34:45,0.234
2024-03-03 17:35:00,0.584
2024-03-03 17:35:15,0.694
2024-03-03 17:35:30,0.707
2024-03-03 17:35:45,0.356
2024-03-03 17:36:00,0.0223
2024-03-03 17:36:15,0.000930
2024-03-03 17:36:30,0.000922
2024-03-03 17:36:45,0.000928
2024-03-03 17:37:00,0.000921
2024-03-03 17:37:15,0.000919
2024-03-03 17:37:30,0.000922
2024-03-03 17:37:45,0.000925
2024-03-03 17:38:00,0.000951
2024-03-03 17:38:15,0.000962
2024-03-03 17:38:30,0.000981
2024-03-03 17:38:45,0.000979
2024-03-03 17:39:00,0.000963
2024-03-03 17:39:15,0.000960
2024-03-03 17:39:30,0.000961
2024-03-03 17:39:45,0.000958
2024-03-03 17:40:00,0.0167
2024-03-03 17:40:15,0.0171
2024-03-03 17:40:30,0.0169
2024-03-03 17:40:45,0.0121
2024-03-03 17:41:00,0.000914
2024-03-03 17:41:15,0.000904
2024-03-03 17:41:30,0.000895
2024-03-03 17:41:45,0.000886
2024-03-03 17:42:00,0.000881
2024-03-03 17:42:15,0.0221
2024-03-03 17:42:30,0.0224
2024-03-03 17:42:45,0.0224
2024-03-03 17:43:00,0.00109
2024-03-03 17:43:15,0.000990
2024-03-03 17:43:30,0.000975
2024-03-03 17:43:45,0.000966
2024-03-03 17:44:00,0.000967
2024-03-03 17:44:15,0.000954
2024-03-03 17:44:30,0.0473
2024-03-03 17:44:45,0.0803
2024-03-03 17:45:00,0.0813
2024-03-03 17:45:15,0.0823
2024-03-03 17:45:30,0.000955
2024-03-03 17:45:45,0.000928
2024-03-03 17:46:00,0.000958
2024-03-03 17:46:15,0.000978
2024-03-03 17:46:30,0.000996
2024-03-03 17:46:45,0.000994
2024-03-03 17:47:00,0.000997
2024-03-03 17:47:15,0.00100
2024-03-03 17:47:30,0.00101
2024-03-03 17:47:45,0.00100
2024-03-03 17:48:00,0.00101
2024-03-03 17:48:15,0.000997
2024-03-03 17:48:30,0.00100
2024-03-03 17:48:45,0.000997
2024-03-03 17:49:00,0.000997
2024-03-03 17:49:15,0.212
2024-03-03 17:49:30,0.543
2024-03-03 17:49:45,0.706
2024-03-03 17:50:00,0.697
2024-03-03 17:50:15,0.375
2024-03-03 17:50:30,0.0515
2024-03-03 17:50:45,0.000974
2024-03-03 17:51:00,0.000959
2024-03-03 17:51:15,0.000943
2024-03-03 17:51:30,0.000929
2024-03-03 17:51:45,0.000909
2024-03-03 17:52:00,0.000914
2024-03-03 17:52:15,0.000910
2024-03-03 17:52:30,0.000932
2024-03-03 17:52:45,0.000934
2024-03-03 17:53:00,0.000941
2024-03-03 17:53:15,0.000931
2024-03-03 17:53:30,0.000927
2024-03-03 17:53:45,0.000928
2024-03-03 17:54:00,0.000936
2024-03-03 17:54:15,0.000933
2024-03-03 17:54:30,0.0168
2024-03-03 17:54:45,0.0168
2024-03-03 17:55:00,0.0167
2024-03-03 17:55:15,0.0163
2024-03-03 17:55:30,0.000952
2024-03-03 17:55:45,0.000951
2024-03-03 17:56:00,0.000957
2024-03-03 17:56:15,0.000939
2024-03-03 17:56:30,0.000928
2024-03-03 17:56:45,0.0225
2024-03-03 17:57:00,0.0221
2024-03-03 17:57:15,0.0227
2024-03-03 17:57:30,0.00113
2024-03-03 17:57:45,0.000992
2024-03-03 17:58:00,0.000998
2024-03-03 17:58:15,0.00100
2024-03-03 17:58:30,0.000989
2024-03-03 17:58:45,0.000995
2024-03-03 17:59:00,0.0222
2024-03-03 17:59:15,0.0814
2024-03-03 17:59:30,0.0795
2024-03-03 17:59:45,0.0805
2024-03-03 18:00:00,0.00104
2024-03-03 18:00:15,0.000925
2024-03-03 18:00:30,0.000973
2024-03-03 18:00:45,0.000985
2024-03-03 18:01:00,0.00101
2024-03-03 18:01:15,0.000985
2024-03-03 18:01:30,0.000974
2024-03-03 18:01:45,0.000961
2024-03-03 18:02:00,0.000933
2024-03-03 18:02:15,0.000902
2024-03-03 18:02:30,0.000879
2024-03-03 18:02:45,0.000875
2024-03-03 18:03:00,0.000876
2024-03-03 18:03:15,0.000880
2024-03-03 18:03:30,0.000878
2024-03-03 18:03:45,0.191
2024-03-03 18:04:00,0.525
2024-03-03 18:04:15,0.695
2024-03-03 18:04:30,0.710
2024-03-03 18:04:45,0.387
2024-03-03 18:05:00,0.0474
