"Time","fastapi_graph"
2024-03-03 17:55:15,0.00894
2024-03-03 17:55:30,0.000995
2024-03-03 17:55:45,0.000984
2024-03-03 17:56:00,0.000975
2024-03-03 17:56:15,0.000964
2024-03-03 17:56:30,0.000968
2024-03-03 17:56:45,0.000953
2024-03-03 17:57:00,0.00993
2024-03-03 17:57:15,0.00961
2024-03-03 17:57:30,0.00971
2024-03-03 17:57:45,0.00971
2024-03-03 17:58:00,0.000912
2024-03-03 17:58:15,0.000923
2024-03-03 17:58:30,0.000938
2024-03-03 17:58:45,0.000917
2024-03-03 17:59:00,0.000910
2024-03-03 17:59:15,0.000928
2024-03-03 17:59:30,0.000918
2024-03-03 17:59:45,0.000920
2024-03-03 18:00:00,0.000897
2024-03-03 18:00:15,0.000903
2024-03-03 18:00:30,0.000941
2024-03-03 18:00:45,0.0369
2024-03-03 18:01:00,0.0370
2024-03-03 18:01:15,0.0364
2024-03-03 18:01:30,0.00102
2024-03-03 18:01:45,0.000834
2024-03-03 18:02:00,0.000839
2024-03-03 18:02:15,0.000862
2024-03-03 18:02:30,0.000866
2024-03-03 18:02:45,0.000874
2024-03-03 18:03:00,0.000885
2024-03-03 18:03:15,0.000892
2024-03-03 18:03:30,0.000912
2024-03-03 18:03:45,0.000926
2024-03-03 18:04:00,0.000914
2024-03-03 18:04:15,0.000903
2024-03-03 18:04:30,0.000899
2024-03-03 18:04:45,0.000912
2024-03-03 18:05:00,0.000913
2024-03-03 18:05:15,0.170
2024-03-03 18:05:30,0.539
2024-03-03 18:05:45,0.882
2024-03-03 18:06:00,1.24
2024-03-03 18:06:15,0.915
2024-03-03 18:06:30,0.550
2024-03-03 18:06:45,0.195
2024-03-03 18:07:00,0.00116
2024-03-03 18:07:15,0.000911
2024-03-03 18:07:30,0.000934
2024-03-03 18:07:45,0.000930
2024-03-03 18:08:00,0.000931
2024-03-03 18:08:15,0.000926
2024-03-03 18:08:30,0.000925
2024-03-03 18:08:45,0.000953
2024-03-03 18:09:00,0.00892
2024-03-03 18:09:15,0.00892
2024-03-03 18:09:30,0.00912
2024-03-03 18:09:45,0.00780
2024-03-03 18:10:00,0.00102
2024-03-03 18:10:15,0.00101
2024-03-03 18:10:30,0.00103
2024-03-03 18:10:45,0.00102
2024-03-03 18:11:00,0.00100
