"Time","mongo"
2024-03-03 17:55:15,0.00688
2024-03-03 17:55:30,0.00276
2024-03-03 17:55:45,0.00264
2024-03-03 17:56:00,0.00266
2024-03-03 17:56:15,0.00261
2024-03-03 17:56:30,0.00266
2024-03-03 17:56:45,0.0492
2024-03-03 17:57:00,0.113
2024-03-03 17:57:15,0.115
2024-03-03 17:57:30,0.115
2024-03-03 17:57:45,0.0343
2024-03-03 17:58:00,0.00277
2024-03-03 17:58:15,0.00272
2024-03-03 17:58:30,0.00280
2024-03-03 17:58:45,0.00272
2024-03-03 17:59:00,0.00351
2024-03-03 17:59:15,0.0198
2024-03-03 17:59:30,0.116
2024-03-03 17:59:45,0.209
2024-03-03 18:00:00,0.324
2024-03-03 18:00:15,0.396
2024-03-03 18:00:30,0.438
2024-03-03 18:00:45,0.349
2024-03-03 18:01:00,0.232
2024-03-03 18:01:15,0.104
2024-03-03 18:01:30,0.00269
2024-03-03 18:01:45,0.00259
2024-03-03 18:02:00,0.00263
2024-03-03 18:02:15,0.00256
2024-03-03 18:02:30,0.00261
2024-03-03 18:02:45,0.00256
2024-03-03 18:03:00,0.00261
2024-03-03 18:03:15,0.00260
2024-03-03 18:03:30,0.00271
2024-03-03 18:03:45,0.00268
2024-03-03 18:04:00,0.00281
2024-03-03 18:04:15,0.00281
2024-03-03 18:04:30,0.00295
2024-03-03 18:04:45,0.00761
2024-03-03 18:05:00,0.0147
2024-03-03 18:05:15,0.0309
2024-03-03 18:05:30,0.0295
2024-03-03 18:05:45,0.0234
2024-03-03 18:06:00,0.00953
2024-03-03 18:06:15,0.00271
2024-03-03 18:06:30,0.00273
2024-03-03 18:06:45,0.00272
2024-03-03 18:07:00,0.00280
2024-03-03 18:07:15,0.00271
2024-03-03 18:07:30,0.00275
2024-03-03 18:07:45,0.00264
2024-03-03 18:08:00,0.00270
2024-03-03 18:08:15,0.00264
2024-03-03 18:08:30,0.00271
2024-03-03 18:08:45,0.00279
2024-03-03 18:09:00,0.00772
2024-03-03 18:09:15,0.00790
2024-03-03 18:09:30,0.00826
2024-03-03 18:09:45,0.00737
2024-03-03 18:10:00,0.00340
2024-03-03 18:10:15,0.00324
2024-03-03 18:10:30,0.00321
2024-03-03 18:10:45,0.00306
2024-03-03 18:11:00,0.00305
2024-03-03 18:11:15,0.0557
2024-03-03 18:11:30,0.117
2024-03-03 18:11:45,0.116
2024-03-03 18:12:00,0.117
2024-03-03 18:12:15,0.0322
2024-03-03 18:12:30,0.00305
2024-03-03 18:12:45,0.00300
2024-03-03 18:13:00,0.00312
2024-03-03 18:13:15,0.00305
2024-03-03 18:13:30,0.00384
2024-03-03 18:13:45,0.0126
2024-03-03 18:14:00,0.106
2024-03-03 18:14:15,0.199
2024-03-03 18:14:30,0.312
2024-03-03 18:14:45,0.382
2024-03-03 18:15:00,0.423
2024-03-03 18:15:15,0.368
2024-03-03 18:15:30,0.253
2024-03-03 18:15:45,0.140
2024-03-03 18:16:00,0.00288
2024-03-03 18:16:15,0.00286
2024-03-03 18:16:30,0.00293
2024-03-03 18:16:45,0.00287
2024-03-03 18:17:00,0.00291
2024-03-03 18:17:15,0.00288
2024-03-03 18:17:30,0.00294
2024-03-03 18:17:45,0.00292
2024-03-03 18:18:00,0.00293
2024-03-03 18:18:15,0.00288
2024-03-03 18:18:30,0.00295
2024-03-03 18:18:45,0.00293
2024-03-03 18:19:00,0.00306
2024-03-03 18:19:15,0.00626
2024-03-03 18:19:30,0.0125
2024-03-03 18:19:45,0.0350
2024-03-03 18:20:00,0.0385
2024-03-03 18:20:15,0.0341
2024-03-03 18:20:30,0.0276
2024-03-03 18:20:45,0.00281
2024-03-03 18:21:00,0.00289
2024-03-03 18:21:15,0.00284
2024-03-03 18:21:30,0.00289
2024-03-03 18:21:45,0.00287
2024-03-03 18:22:00,0.00296
2024-03-03 18:22:15,0.00289
2024-03-03 18:22:30,0.00299
2024-03-03 18:22:45,0.00294
2024-03-03 18:23:00,0.00300
2024-03-03 18:23:15,0.00299
2024-03-03 18:23:30,0.00328
2024-03-03 18:23:45,0.00811
2024-03-03 18:24:00,0.00811
2024-03-03 18:24:15,0.00804
2024-03-03 18:24:30,0.00688
2024-03-03 18:24:45,0.00307
2024-03-03 18:25:00,0.00307
2024-03-03 18:25:15,0.00297
2024-03-03 18:25:30,0.00300
2024-03-03 18:25:45,0.00306
2024-03-03 18:26:00,0.0774
2024-03-03 18:26:15,0.117
2024-03-03 18:26:30,0.115
2024-03-03 18:26:45,0.108
2024-03-03 18:27:00,0.00296
2024-03-03 18:27:15,0.00290
2024-03-03 18:27:30,0.00296
2024-03-03 18:27:45,0.00295
2024-03-03 18:28:00,0.00300
2024-03-03 18:28:15,0.00375
2024-03-03 18:28:30,0.0398
2024-03-03 18:28:45,0.127
2024-03-03 18:29:00,0.213
2024-03-03 18:29:15,0.340
2024-03-03 18:29:30,0.397
2024-03-03 18:29:45,0.438
2024-03-03 18:30:00,0.346
2024-03-03 18:30:15,0.219
2024-03-03 18:30:30,0.0919
2024-03-03 18:30:45,0.00284
2024-03-03 18:31:00,0.00287
2024-03-03 18:31:15,0.00283
2024-03-03 18:31:30,0.00292
2024-03-03 18:31:45,0.00291
2024-03-03 18:32:00,0.00298
2024-03-03 18:32:15,0.00298
2024-03-03 18:32:30,0.00299
2024-03-03 18:32:45,0.00305
2024-03-03 18:33:00,0.00321
